Comunidades ;Coun;hab2018
Total;ES;47026208
01 Andalucía;AN;8414240
02 Aragón;AR;1319291
03 Asturias, Principado de;AS;1022800
04 Balears, Illes;IB;1149460
05 Canarias;CN;2153389
06 Cantabria;CB;581078
07 Castilla y León;CL;2399548
08 Castilla - La Mancha;CM;2032863
09 Cataluña;CT;7675217
10 Comunitat Valenciana;VC;5003769
11 Extremadura;EX;1067710
12 Galicia;GA;2699499
13 Madrid, Comunidad de;MD;6663394
14 Murcia, Región de;MC;1493898
15 Navarra, Comunidad Foral de;NC;654214
16 País Vasco;PV;2207776
17 Rioja, La;RI;316798
18 Ceuta;CE;84777
19 Melilla;ME;86487
